# rau, sigma_d, hdust
4.684460e+01 2.326265e+00 3.711703e-01
4.748090e+01 2.310625e+00 3.772285e-01
4.812584e+01 2.295091e+00 3.833855e-01
4.877954e+01 2.279660e+00 3.896431e-01
4.944212e+01 2.264334e+00 3.960028e-01
5.011370e+01 2.249110e+00 4.024663e-01
5.079440e+01 2.233989e+00 4.090352e-01
5.148435e+01 2.218970e+00 4.157114e-01
5.218366e+01 2.204051e+00 4.224966e-01
5.289248e+01 2.189233e+00 4.293925e-01
5.361093e+01 2.174515e+00 4.364010e-01
5.433913e+01 2.159895e+00 4.435239e-01
5.507723e+01 2.145374e+00 4.507630e-01
5.582535e+01 2.130950e+00 4.581202e-01
5.658363e+01 2.116623e+00 4.655976e-01
5.735222e+01 2.102393e+00 4.731970e-01
5.813124e+01 2.088258e+00 4.809204e-01
5.892084e+01 2.074219e+00 4.887699e-01
5.972117e+01 2.060273e+00 4.967476e-01
6.053237e+01 2.046422e+00 5.048554e-01
6.135459e+01 2.032663e+00 5.130955e-01
6.218798e+01 2.018997e+00 5.214702e-01
6.303269e+01 2.005423e+00 5.299815e-01
6.388887e+01 1.991941e+00 5.386318e-01
6.475668e+01 1.978548e+00 5.474232e-01
6.563628e+01 1.965246e+00 5.563582e-01
6.652782e+01 1.952034e+00 5.654390e-01
6.743148e+01 1.938910e+00 5.746680e-01
6.834741e+01 1.925874e+00 5.840476e-01
6.927578e+01 1.912926e+00 5.935803e-01
7.021677e+01 1.900065e+00 6.032686e-01
7.117053e+01 1.887291e+00 6.131151e-01
7.213725e+01 1.874603e+00 6.231222e-01
7.311710e+01 1.861999e+00 6.332927e-01
7.411026e+01 1.849481e+00 6.436292e-01
7.511691e+01 1.837046e+00 6.541344e-01
7.613723e+01 1.824696e+00 6.648111e-01
7.717141e+01 1.812428e+00 6.756620e-01
7.821964e+01 1.800243e+00 6.866900e-01
7.928211e+01 1.788139e+00 6.978981e-01
8.035901e+01 1.776118e+00 7.092890e-01
8.145054e+01 1.764176e+00 7.208659e-01
8.255689e+01 1.752316e+00 7.326318e-01
8.367827e+01 1.740534e+00 7.445896e-01
8.481488e+01 1.728833e+00 7.567427e-01
8.596694e+01 1.717209e+00 7.690941e-01
8.713464e+01 1.705664e+00 7.816471e-01
8.831820e+01 1.694197e+00 7.944050e-01
8.951784e+01 1.682807e+00 8.073712e-01
9.073377e+01 1.671493e+00 8.205489e-01
9.196622e+01 1.660255e+00 8.339418e-01
9.321541e+01 1.649093e+00 8.475532e-01
9.448156e+01 1.638006e+00 8.613868e-01
9.576492e+01 1.626993e+00 8.754462e-01
9.706571e+01 1.616055e+00 8.897351e-01
9.838416e+01 1.605190e+00 9.042572e-01
9.972053e+01 1.594398e+00 9.190163e-01
1.010750e+02 1.583678e+00 9.340164e-01
1.024480e+02 1.573031e+00 9.492612e-01
1.038395e+02 1.562455e+00 9.647549e-01
1.052500e+02 1.551951e+00 9.805014e-01
1.066796e+02 1.541517e+00 9.965050e-01
1.081287e+02 1.531153e+00 1.012770e+00
1.095974e+02 1.520859e+00 1.029300e+00
1.110861e+02 1.510634e+00 1.046100e+00
1.125950e+02 1.500478e+00 1.063174e+00
1.141244e+02 1.490390e+00 1.080527e+00
1.156745e+02 1.480370e+00 1.098163e+00
1.172457e+02 1.470417e+00 1.116087e+00
1.188383e+02 1.460531e+00 1.134304e+00
1.204525e+02 1.450712e+00 1.152818e+00
1.220886e+02 1.440958e+00 1.171634e+00
1.237470e+02 1.431270e+00 1.190757e+00
1.254278e+02 1.421648e+00 1.210193e+00
1.271315e+02 1.412090e+00 1.229945e+00
1.288584e+02 1.402596e+00 1.250020e+00
1.306087e+02 1.393166e+00 1.270423e+00
1.323828e+02 1.383800e+00 1.291158e+00
1.341809e+02 1.374496e+00 1.312232e+00
1.360035e+02 1.365255e+00 1.333650e+00
1.378509e+02 1.356077e+00 1.355418e+00
1.397233e+02 1.346959e+00 1.377541e+00
1.416212e+02 1.337904e+00 1.400025e+00
1.435449e+02 1.328909e+00 1.422876e+00
1.454947e+02 1.319974e+00 1.446100e+00
1.474709e+02 1.311100e+00 1.469703e+00
1.494741e+02 1.302285e+00 1.493691e+00
1.515044e+02 1.176533e+00 1.518071e+00
1.535623e+02 1.028040e+00 1.542848e+00
