# rau, sigma_d, hdust
2.628084e+00 9.821309e+00 3.698317e-02
2.672168e+00 9.739958e+00 3.776023e-02
2.716992e+00 9.659281e+00 3.855363e-02
2.762568e+00 9.579273e+00 3.936369e-02
2.808908e+00 9.499927e+00 4.019078e-02
2.856025e+00 9.421238e+00 4.103524e-02
2.903933e+00 9.343201e+00 4.189745e-02
2.952644e+00 9.265811e+00 4.277778e-02
3.002173e+00 9.189061e+00 4.367660e-02
3.052532e+00 9.112948e+00 4.459430e-02
3.103736e+00 9.037464e+00 4.553129e-02
3.155799e+00 8.962606e+00 4.648797e-02
3.208735e+00 8.888368e+00 4.746474e-02
3.262559e+00 8.814745e+00 4.846204e-02
3.317286e+00 8.741732e+00 4.948030e-02
3.372931e+00 8.669324e+00 5.051995e-02
3.429510e+00 8.597515e+00 5.158145e-02
3.487037e+00 8.526301e+00 5.266524e-02
3.545530e+00 8.455677e+00 5.377182e-02
3.605004e+00 8.385638e+00 5.490164e-02
3.665475e+00 8.316179e+00 5.605520e-02
3.726961e+00 8.247296e+00 5.723300e-02
3.789478e+00 8.178983e+00 5.843554e-02
3.853044e+00 8.111236e+00 5.966336e-02
3.917676e+00 8.044050e+00 6.091697e-02
3.983392e+00 7.977420e+00 6.219692e-02
4.050210e+00 7.911343e+00 6.350377e-02
4.118150e+00 7.845812e+00 6.483807e-02
4.187229e+00 7.780825e+00 6.620041e-02
4.257466e+00 7.716376e+00 6.759138e-02
4.328882e+00 7.652460e+00 6.901157e-02
4.401496e+00 7.589075e+00 7.046160e-02
4.475328e+00 7.526214e+00 7.194210e-02
4.550398e+00 7.463873e+00 7.345371e-02
4.626728e+00 7.402050e+00 7.499708e-02
4.704338e+00 7.340738e+00 7.657287e-02
4.783250e+00 7.279934e+00 7.818178e-02
4.863486e+00 7.219634e+00 7.982449e-02
4.945067e+00 7.159833e+00 8.150172e-02
5.028017e+00 7.100528e+00 8.321419e-02
5.112358e+00 7.041713e+00 8.496264e-02
5.198114e+00 6.983386e+00 8.674783e-02
5.285309e+00 6.925542e+00 8.857052e-02
5.373966e+00 6.868178e+00 9.043152e-02
5.464111e+00 6.811288e+00 9.233162e-02
5.555767e+00 6.754869e+00 9.427164e-02
5.648961e+00 6.698918e+00 9.625242e-02
5.743718e+00 6.643431e+00 9.827483e-02
5.840065e+00 6.588403e+00 1.003397e-01
5.938028e+00 6.533830e+00 1.024480e-01
6.037634e+00 6.479710e+00 1.046006e-01
6.138911e+00 6.426038e+00 1.067984e-01
6.241887e+00 6.372811e+00 1.090424e-01
6.346590e+00 6.320024e+00 1.113335e-01
6.453049e+00 6.267675e+00 1.136728e-01
6.561295e+00 6.215760e+00 1.160612e-01
6.671356e+00 6.164274e+00 1.184999e-01
6.783263e+00 6.113215e+00 1.209897e-01
6.897047e+00 6.062579e+00 1.235319e-01
7.012740e+00 6.012362e+00 1.261275e-01
7.130374e+00 5.962561e+00 1.287776e-01
7.249981e+00 5.913173e+00 1.314834e-01
7.371594e+00 5.864193e+00 1.342461e-01
7.495247e+00 5.815620e+00 1.370668e-01
7.620974e+00 5.767449e+00 1.399468e-01
7.748811e+00 5.719676e+00 1.428872e-01
7.878791e+00 5.672300e+00 1.458895e-01
8.010952e+00 5.625316e+00 1.489549e-01
8.145330e+00 5.578721e+00 1.520846e-01
8.281962e+00 5.532512e+00 1.552802e-01
8.420886e+00 5.486686e+00 1.585428e-01
8.562141e+00 5.441239e+00 1.618740e-01
8.705764e+00 5.396169e+00 1.652753e-01
8.851797e+00 5.351472e+00 1.687479e-01
9.000280e+00 5.307145e+00 1.722936e-01
9.151253e+00 5.263186e+00 1.759137e-01
9.304759e+00 5.219590e+00 1.796099e-01
9.460839e+00 5.176356e+00 1.833838e-01
9.619538e+00 5.133480e+00 1.872370e-01
9.780899e+00 5.090959e+00 1.911711e-01
9.944966e+00 5.048790e+00 1.951879e-01
1.011179e+01 5.006971e+00 1.992891e-01
1.028140e+01 4.965498e+00 2.034765e-01
1.045387e+01 4.924368e+00 2.077518e-01
1.062922e+01 4.883579e+00 2.121170e-01
1.080752e+01 4.843128e+00 2.165739e-01
1.098881e+01 4.803012e+00 2.211244e-01
1.117314e+01 4.763228e+00 2.257706e-01
1.136056e+01 4.723774e+00 2.305144e-01
1.155112e+01 4.684647e+00 2.353578e-01
1.174489e+01 4.645843e+00 2.403030e-01
1.194190e+01 4.607362e+00 2.453522e-01
1.214222e+01 4.569198e+00 2.505074e-01
1.234589e+01 4.531351e+00 2.557709e-01
1.255299e+01 4.493818e+00 2.611451e-01
1.276355e+01 4.456595e+00 2.666321e-01
1.297765e+01 4.419681e+00 2.722345e-01
1.319534e+01 4.383072e+00 2.779545e-01
1.341669e+01 4.346767e+00 2.837948e-01
1.364174e+01 4.310762e+00 2.897577e-01
1.387057e+01 4.275056e+00 2.958460e-01
1.410324e+01 4.239645e+00 3.020621e-01
1.433981e+01 4.204528e+00 3.084089e-01
1.458035e+01 4.169702e+00 3.148891e-01
1.482493e+01 4.135164e+00 3.215054e-01
1.507360e+01 4.100912e+00 3.282607e-01
1.532645e+01 4.066944e+00 3.351579e-01
1.558354e+01 4.033257e+00 3.422001e-01
1.584495e+01 3.999849e+00 3.493903e-01
1.611073e+01 3.966718e+00 3.567315e-01
1.638098e+01 3.933861e+00 3.642270e-01
1.665576e+01 3.901277e+00 3.718799e-01
1.693515e+01 3.868962e+00 3.796937e-01
1.721922e+01 3.836916e+00 3.876716e-01
1.750806e+01 3.805134e+00 3.958172e-01
1.780175e+01 3.773616e+00 4.041339e-01
1.810036e+01 3.742359e+00 4.126254e-01
