# rau, sigma_g, hau_mid
1.665576e+01 1.502959e+02 7.437598e-01
1.693515e+01 1.482937e+02 7.593874e-01
1.721922e+01 1.463147e+02 7.753433e-01
1.750806e+01 1.443587e+02 7.916344e-01
1.780175e+01 1.424252e+02 8.082679e-01
1.810036e+01 1.405141e+02 8.252508e-01
1.840398e+01 1.386250e+02 8.425906e-01
1.871269e+01 1.367576e+02 8.602947e-01
1.902658e+01 1.349117e+02 8.783708e-01
1.934574e+01 1.330869e+02 8.968268e-01
1.967025e+01 1.312831e+02 9.156705e-01
2.000021e+01 1.294999e+02 9.349101e-01
2.033569e+01 1.277370e+02 9.545540e-01
2.067681e+01 1.259942e+02 9.746107e-01
2.102365e+01 1.242712e+02 9.950887e-01
2.137631e+01 1.225678e+02 1.015997e+00
2.173488e+01 1.208836e+02 1.037345e+00
2.209946e+01 1.192186e+02 1.059141e+00
2.247017e+01 1.175723e+02 1.081395e+00
2.284709e+01 1.159445e+02 1.104117e+00
2.323033e+01 1.143351e+02 1.127316e+00
2.362000e+01 1.127437e+02 1.151003e+00
2.401621e+01 1.111702e+02 1.175187e+00
2.441907e+01 1.096142e+02 1.199880e+00
2.482868e+01 1.080756e+02 1.225091e+00
2.524516e+01 1.065541e+02 1.250832e+00
2.566863e+01 1.050496e+02 1.277114e+00
2.609920e+01 1.035617e+02 1.303948e+00
2.653700e+01 1.020903e+02 1.331346e+00
2.698214e+01 1.006351e+02 1.359320e+00
2.743474e+01 9.919591e+01 1.387881e+00
2.789494e+01 9.777257e+01 1.417043e+00
2.836286e+01 9.636484e+01 1.446817e+00
2.883863e+01 9.497252e+01 1.477217e+00
2.932237e+01 9.359540e+01 1.508255e+00
2.981423e+01 9.223329e+01 1.539946e+00
3.031435e+01 9.088599e+01 1.572303e+00
3.082285e+01 8.955330e+01 1.605339e+00
3.133988e+01 8.823503e+01 1.639070e+00
3.186558e+01 8.693100e+01 1.673509e+00
3.240011e+01 8.564102e+01 1.708672e+00
3.294359e+01 8.436491e+01 1.744574e+00
3.349620e+01 8.310249e+01 1.781231e+00
3.405807e+01 8.185358e+01 1.818657e+00
3.462937e+01 8.061801e+01 1.856870e+00
3.521026e+01 7.939560e+01 1.895886e+00
3.580088e+01 7.818619e+01 1.935721e+00
3.640142e+01 7.698962e+01 1.976394e+00
3.701202e+01 7.580571e+01 2.017921e+00
3.763287e+01 7.463432e+01 2.060320e+00
3.826414e+01 7.347527e+01 2.103611e+00
3.890599e+01 7.232843e+01 2.147811e+00
3.955861e+01 7.119362e+01 2.192940e+00
4.022218e+01 7.007072e+01 2.239017e+00
4.089688e+01 6.895956e+01 2.286062e+00
4.158289e+01 6.786000e+01 2.334096e+00
4.228041e+01 6.677191e+01 2.383139e+00
4.298964e+01 6.569515e+01 2.433212e+00
4.371076e+01 6.462957e+01 2.484338e+00
4.444397e+01 6.357505e+01 2.536538e+00
4.518949e+01 6.253146e+01 2.589835e+00
4.594751e+01 6.149866e+01 2.644251e+00
4.671825e+01 6.047654e+01 2.699811e+00
4.750191e+01 5.946497e+01 2.756538e+00
4.829872e+01 5.846383e+01 2.814457e+00
4.910890e+01 5.747301e+01 2.873594e+00
4.993266e+01 5.649238e+01 2.933972e+00
5.077025e+01 5.552186e+01 2.995620e+00
5.162188e+01 5.456131e+01 3.058562e+00
5.248780e+01 5.361064e+01 3.122827e+00
5.336825e+01 5.266975e+01 3.188443e+00
5.426346e+01 5.173853e+01 3.255437e+00
5.517369e+01 5.081690e+01 3.323839e+00
5.609919e+01 4.990474e+01 3.393678e+00
5.704021e+01 4.900198e+01 3.464985e+00
5.799702e+01 4.810853e+01 3.537789e+00
5.896988e+01 4.722430e+01 3.612124e+00
5.995906e+01 4.634920e+01 3.688020e+00
6.096483e+01 4.548316e+01 3.765512e+00
6.198747e+01 4.462611e+01 3.844631e+00
6.302726e+01 4.377796e+01 3.925413e+00
6.408450e+01 4.293865e+01 4.007892e+00
6.515947e+01 4.210811e+01 4.092104e+00
6.625247e+01 4.128627e+01 4.178085e+00
6.736381e+01 4.047307e+01 4.265874e+00
6.849379e+01 3.966846e+01 4.355506e+00
6.964273e+01 3.887237e+01 4.447022e+00
